# csv-sha256: aaca1a4bea7875c0282380f0126c04f61bcf8b68d6721a10b01eb412d6318d9f
old_path,new_name,change_types,reason
Frame/BubbleFrame_01_ArrowBg,BubbleFrame_ArrowBg_01,,normalize
Frame/BubbleFrame_01_ArrowShadow,BubbleFrame_ArrowShadow_01,,normalize
Frame/BubbleFrame_01_BgShadow,BubbleFrame_BgShadow_01,,normalize
Frame/BubbleFrame_02_InnerBorder,BubbleFrame_InnerBorder_02,,normalize
Frame/BubbleFrame_02_Shadow,BubbleFrame_Shadow_02,,normalize
Frame/BubbleFrame_03_Shadow,BubbleFrame_Shadow_03,,normalize
Frame/FlagFrame_01_Focus,FlagFrame_Focus_01,,normalize
Frame/FlagFrame_01_InnerDeco,FlagFrame_InnerDeco_01,,normalize
Frame/ListFrame_01_Border,ListFrame_Border_01,,normalize
Frame/ListFrame_01_Deco1,ListFrame_Deco1_01,,normalize
Frame/ListFrame_01_Deco2,ListFrame_Deco2_01,,normalize
Frame/ListFrame_01_InnerBorder,ListFrame_InnerBorder_01,,normalize
Frame/ListFrame_01_InnerGlow,ListFrame_InnerGlow_01,,normalize
Frame/ProfileFrame_01_Border,ProfileFrame_Border_01,,normalize
Frame/ProfileFrame_01_BorderDeco_Christmas,ProfileFrame_BorderDeco_01_Christmas,,normalize
Frame/ProfileFrame_01_BorderDeco_Gold,ProfileFrame_BorderDeco_01_Gold,,normalize
Frame/ProfileFrame_01_BorderDeco_Gold_BlackBorder,ProfileFrame_BorderDeco_01_Gold_BlackBorder,,normalize
Frame/ProfileFrame_01_BorderDeco_GoldCrown,ProfileFrame_BorderDeco_01_GoldCrown,,normalize
Frame/ProfileFrame_01_BorderDeco_Green,ProfileFrame_BorderDeco_01_Green,,normalize
Frame/ProfileFrame_01_BorderDeco_Halloween,ProfileFrame_BorderDeco_01_Halloween,,normalize
Frame/ProfileFrame_01_BorderDeco_Mint,ProfileFrame_BorderDeco_01_Mint,,normalize
Frame/ProfileFrame_01_BorderDeco_Purple,ProfileFrame_BorderDeco_01_Purple,,normalize
Frame/ProfileFrame_01_BorderDeco_Red,ProfileFrame_BorderDeco_01_Red,,normalize
Frame/ProfileFrame_01_Deco,ProfileFrame_Deco_01,,normalize
Frame/ProfileFrame_01_Focus_Single_Purple,ProfileFrame_Focus_01_Single_Purple,,normalize
Frame/ProfileFrame_01_Focus_White_Border,ProfileFrame_Focus_01_White_Border,,normalize
Frame/ProfileFrame_01_Focus_White_BorderGlow,ProfileFrame_Focus_01_White_BorderGlow,,normalize
Frame/ProfileFrame_01_Focus_White_Light,ProfileFrame_Focus_01_White_Light,,normalize
Frame/ProfileFrame_01_InnerBorder,ProfileFrame_InnerBorder_01,,normalize
Frame/RewardFrame_01_Advanced_Border,RewardFrame_Advanced_01_Border,,normalize
Frame/RewardFrame_01_Advanced_BorderDeco,RewardFrame_Advanced_01_BorderDeco,,normalize
Frame/RewardFrame_01_Default_Border,RewardFrame_Default_01_Border,,normalize
Frame/RewardFrame_01_Default_BorderDeco,RewardFrame_Default_01_BorderDeco,,normalize
Frame/RewardFrame_01_Dim,RewardFrame_Dim_01,,normalize
Frame/RewardFrame_01_Focus_Border,RewardFrame_Focus_01_Border,,normalize
Frame/RewardFrame_01_Focus_BorderDeco,RewardFrame_Focus_01_BorderDeco,,normalize
Frame/RewardFrame_01_InnerBg,RewardFrame_InnerBg_01,,normalize
Frame/RewardFrame_01_InnerBg_half,RewardFrame_InnerBg_01_half,,normalize
Frame/RewardFrame_01_InnerBorder,RewardFrame_InnerBorder_01,,normalize
Frame/RewardFrame_01_InnerBorder_Thicker,RewardFrame_InnerBorder_01_Thicker,,normalize
Frame/RewardFrame_01_TextBox,RewardFrame_TextBox_01,,normalize
Frame/SkillFrame_01_Border_Blue,SkillFrame_Border_01_Blue,,normalize
Frame/SkillFrame_01_Border_Green,SkillFrame_Border_01_Green,,normalize
Frame/SkillFrame_01_Border_Purple,SkillFrame_Border_01_Purple,,normalize
Frame/SkillFrame_01_Border_Red,SkillFrame_Border_01_Red,,normalize
Frame/SkillFrame_01_Border_Yellow,SkillFrame_Border_01_Yellow,,normalize
Frame/StageFrame_01_Border,StageFrame_Border_01,,normalize
